epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.082,1.61342,1.52585,1.06624,0.48887,0.34614,0.3487,0.16792,1.57862,1.10251,1.0392,0.000416,0.000416,0.000416
2,641.664,1.55558,1.10402,1.05521,0.51353,0.35753,0.36964,0.17402,1.54529,1.08744,1.03526,0.000777711,0.000777711,0.000777711
3,949.958,1.53864,1.05145,1.05218,0.52246,0.37342,0.38174,0.18233,1.52748,1.02893,1.04221,0.00108442,0.00108442,0.00108442
4,1259.44,1.51652,1.0085,1.04527,0.55728,0.40341,0.42522,0.20251,1.47321,0.93317,1.01071,0.0010025,0.0010025,0.0010025
5,1571.58,1.48714,0.96606,1.03282,0.56443,0.41164,0.43772,0.21166,1.45189,0.91127,1.00629,0.00092,0.00092,0.00092
6,1856.04,1.50097,0.9559,1.03079,0.57102,0.41584,0.43799,0.20732,1.45931,0.92644,1.00982,0.0008375,0.0008375,0.0008375
7,2139.9,1.48267,0.93035,1.0273,0.58638,0.41863,0.44687,0.218,1.44466,0.90542,1.00593,0.000755,0.000755,0.000755
8,2424.73,1.46454,0.90725,1.01997,0.59685,0.42818,0.45863,0.22114,1.43091,0.88004,1.00116,0.0006725,0.0006725,0.0006725
9,2706.79,1.4507,0.88852,1.0129,0.58663,0.43434,0.46241,0.22645,1.4216,0.86662,0.9989,0.00059,0.00059,0.00059
10,2993.95,1.43733,0.87268,1.00779,0.61099,0.43385,0.47301,0.23308,1.40511,0.84796,0.98918,0.0005075,0.0005075,0.0005075
11,3277,1.42449,0.85741,1.00383,0.61023,0.43096,0.47007,0.23327,1.3997,0.84116,0.98604,0.000425,0.000425,0.000425
12,3564.81,1.40978,0.84281,0.99862,0.61194,0.44403,0.48207,0.23887,1.38587,0.82085,0.98422,0.0003425,0.0003425,0.0003425
13,3843.98,1.39888,0.82906,0.99342,0.6182,0.45517,0.49533,0.2444,1.38038,0.81687,0.97934,0.00026,0.00026,0.00026
14,4127.27,1.38607,0.81205,0.99051,0.63507,0.45853,0.49829,0.24619,1.36875,0.79744,0.97653,0.0001775,0.0001775,0.0001775
15,4413.69,1.37074,0.79914,0.98424,0.63784,0.46244,0.5043,0.25071,1.35592,0.79112,0.97261,9.5e-05,9.5e-05,9.5e-05
